,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
293,MC,F,3,14.28,178.73,147.42,339.28,13.3,72.62,274.23,12.43,65.04,86.71,148.58,277.91,14.93,222.2,6.35,5.6,0.0,10.0,1.64,4.72,12.75,38.83,14.65,1.34,33.3,0.0,,6.34,7.82,35.13,0.0,1.02,3.61,0.0,11.17,3.62,1.47,2.63,5.29,17.35,1.7,9.31,24.17,26.88,2.78,2.03,88.24,15.32,81.89,63.54,405.22,57.16,8.0,370.69,26.47,120.83,26.64,2.15,29.95,6.19,7.24,42.91,1.08,71.39,61.04,10.35,11.44,3.38
302,MD,F,3,23.11,168.72,174.57,478.14,13.56,74.4,375.66,12.19,102.48,136.21,185.2,293.65,11.09,204.93,5.11,4.35,0.0,11.92,1.67,7.16,1.91,55.12,10.13,0.0,13.9,0.0,,1.91,19.9,48.7,0.0,0.0,0.0,3.73,17.94,6.78,4.24,0.0,2.09,12.89,1.87,4.75,1.91,28.85,22.8,0.0,127.4,12.89,59.29,96.31,361.63,86.3,39.78,280.33,27.29,143.41,19.0,2.94,27.69,12.65,20.55,85.51,2.03,115.56,94.69,20.88,34.3,8.01
311,,F,3,18.26,366.44,213.82,487.77,11.17,58.46,410.9,10.45,76.88,72.1,182.88,226.08,19.24,184.8,13.42,5.24,0.0,11.09,1.13,7.46,2.68,40.81,4.07,0.53,9.97,1.39,,4.17,10.22,17.4,4.72,1.28,3.16,0.92,17.71,3.93,2.38,1.18,1.96,26.07,1.87,14.29,30.83,18.14,11.15,0.9,122.02,25.17,64.54,64.57,351.8,60.37,13.06,320.37,58.29,100.8,41.25,7.55,23.13,17.34,12.66,47.14,2.16,91.31,82.03,9.28,28.43,5.63
320,NB,F,3,26.55,257.38,214.05,575.19,13.31,65.09,499.97,12.78,75.22,52.87,288.48,378.48,30.08,264.78,6.42,9.66,0.0,8.74,1.2,17.29,1.56,24.06,5.76,0.27,16.94,0.0,,6.07,9.93,26.72,0.0,0.0,1.25,0.0,16.33,4.38,0.71,1.44,0.79,17.3,1.9,8.27,47.42,33.09,7.04,0.64,93.38,16.66,96.9,96.07,338.81,91.12,33.65,260.28,49.31,184.03,101.61,7.34,7.62,13.26,22.4,66.91,1.93,132.77,122.77,10.0,37.85,14.44
329,NC,F,3,21.98,213.26,246.89,516.02,13.71,65.55,417.47,12.77,98.55,94.31,221.38,226.5,22.49,144.39,5.15,8.92,0.0,10.53,1.73,11.45,5.02,39.77,10.6,0.94,18.62,0.62,,6.42,11.66,45.8,2.65,5.25,2.92,2.56,8.4,8.28,4.02,2.03,3.57,13.17,2.34,6.99,38.41,30.88,3.73,1.04,149.22,12.13,84.84,64.75,433.59,48.65,13.4,401.92,62.96,148.94,55.04,5.92,15.21,8.14,7.72,54.78,1.17,109.9,96.26,13.65,33.94,16.9
338,ND,F,3,28.16,262.34,369.82,688.49,18.84,100.6,482.51,17.66,205.98,117.38,270.54,441.17,20.58,293.57,6.53,15.98,26.7,19.28,2.92,14.41,8.09,35.71,19.28,1.79,23.45,1.15,,15.26,22.2,119.09,6.24,7.91,3.35,2.41,8.26,5.49,4.03,6.87,6.27,13.42,4.26,4.64,75.26,88.66,25.36,1.77,207.5,11.64,218.49,97.63,379.89,88.47,37.11,313.01,39.15,122.49,40.16,14.58,33.32,23.79,21.13,41.66,1.77,140.78,108.36,32.42,32.84,12.8
401,QA,F,3,24.55,252.52,188.53,530.6,11.5,61.29,493.0,10.84,37.6,66.07,284.59,169.82,21.1,87.13,2.19,6.04,0.0,11.3,0.97,2.45,3.74,36.17,8.56,0.41,5.59,0.0,,3.96,5.06,12.05,8.1,1.54,0.8,0.0,5.07,0.0,0.0,3.35,4.22,16.96,2.0,10.78,120.46,19.02,3.69,1.57,54.21,15.39,145.9,122.72,403.46,111.0,43.92,334.25,78.21,123.41,19.93,24.11,39.04,16.81,16.89,43.67,1.65,122.75,118.25,4.51,28.73,22.53
410,QB,F,3,36.29,346.75,280.75,777.98,14.65,50.25,737.06,14.09,40.92,55.43,443.83,368.24,42.23,239.6,5.1,8.4,0.0,5.2,1.1,2.17,7.88,32.52,5.58,0.47,11.03,0.0,,2.07,4.01,38.25,0.75,1.22,0.55,0.75,2.23,1.54,0.0,2.71,4.45,18.52,1.13,13.35,41.16,18.18,9.69,0.88,43.14,17.63,69.88,191.22,617.88,171.98,52.38,540.02,98.52,93.62,32.6,23.01,23.33,22.13,27.29,64.32,3.07,181.47,174.39,7.08,27.32,13.16
419,QC,F,3,33.55,398.72,184.73,698.73,9.62,39.67,658.05,9.22,40.67,39.79,422.46,222.59,16.11,72.92,4.51,5.63,0.0,3.85,0.37,2.94,0.93,3.92,2.16,0.87,2.16,0.65,,0.65,10.19,5.06,0.0,2.73,0.87,0.0,15.09,3.18,1.16,5.34,7.5,15.73,1.29,13.11,62.24,16.28,5.92,0.48,39.31,15.24,89.64,199.67,308.76,195.62,82.67,195.96,101.66,124.39,16.41,21.87,44.18,17.97,28.78,27.1,3.44,167.74,162.79,4.94,17.55,10.96
428,RA,F,3,21.63,139.04,161.0,440.71,12.17,51.98,403.39,11.66,37.32,51.67,231.11,165.93,11.2,71.0,2.59,11.98,0.0,6.08,1.86,2.07,3.7,14.41,6.33,0.64,13.9,0.94,,97.45,10.3,9.66,10.88,2.2,0.94,0.62,6.95,5.74,0.98,1.26,2.7,15.88,1.12,5.68,58.24,2.03,7.24,2.52,33.27,13.36,79.02,134.46,466.7,122.28,19.3,391.85,34.05,120.98,22.37,19.53,26.08,16.82,27.01,84.54,2.71,108.15,102.28,5.87,40.14,21.16
