,county,sex,xiang,q005,q006,q012,q013,q014,q019,q022,q027,q028,q029,q030,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q089,q090,q091,q092,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q128,q129,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q142,q143,q144,q145,q146,q147,q148,q157,q158,q159,q160,q161,q162,q163,q164,q166,q167,q168,q169,q170,q171,q172,q173,q174,q175,q176,q177,q178,q179,q180,q181,q182,q183,q184,q185,q186,q187,q188,q190,q191,q192
39,FA,F,1,6.7,0.0,0.0,10.0,0.0,16.7,0.0,3.3,0.0,26.7,70.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.3,,47.8,154.0,52.9,22.2,40.0,36.7,31.0,20.0,6.7,16.7,0.9,20.0,20.0,116.0,79.3,97.8,2.07,2.5,2.22,2.13,2.56,2.3,0.2,0.7,40.0,36.7,,36.7,,22.8,,23.3,6.7,0.3,,0.3,6.67,7.0,,6.67,36.7,0.0,0.0,0.0,0.0,153.4,136.5,202.7,5.1,52.5,8.9,20.5,32.0,10.0,0.0,28.4,3.6,34.4,170.0,166.0,25.6,30.7,60.0,93.9,0.0,0.0,0.0,0.0,16.7,0.0,0.0,16.7,16.1,28.2,4.2,52.0,5.1,0.8,4.3
40,FA,F,2,6.7,0.0,3.3,0.0,0.0,10.0,3.3,3.3,0.0,23.3,76.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.7,,47.1,154.0,55.0,23.3,23.3,23.3,23.3,13.3,10.0,10.0,0.4,20.0,6.7,127.0,89.3,108.3,2.35,2.43,3.31,2.4,2.49,3.39,0.0,0.3,43.3,43.3,,43.3,,17.2,,40.0,3.3,0.7,,0.7,7.62,8.39,,7.62,40.0,0.0,0.0,0.0,0.0,132.4,172.6,195.0,0.0,53.4,0.5,15.1,30.5,6.7,0.0,24.6,6.1,14.4,122.0,133.0,9.5,21.3,32.2,87.3,0.0,0.0,0.0,0.0,41.7,0.0,0.0,41.7,16.0,27.8,3.7,49.0,5.4,0.9,4.4
41,FA,F,3,6.7,0.0,1.6,5.0,0.0,13.3,1.6,3.3,0.0,25.0,73.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.5,,47.5,154.0,54.0,22.8,31.7,30.0,27.2,16.7,8.3,13.3,0.7,20.0,13.3,122.0,84.3,103.0,2.21,2.47,2.77,2.27,2.53,2.85,0.1,0.5,41.6,40.0,,40.0,,20.0,,31.7,5.0,0.5,,0.5,7.15,7.7,,7.15,38.4,0.0,0.0,0.0,0.0,142.9,154.6,198.8,2.5,53.0,4.7,17.8,31.3,8.3,0.0,26.5,4.8,24.4,146.0,150.0,17.6,26.0,46.1,90.6,0.0,0.0,0.0,0.0,29.2,0.0,0.0,29.2,16.1,28.0,4.0,50.5,5.3,0.9,4.4
66,LC,F,1,20.0,0.0,43.3,33.3,0.0,6.7,3.3,6.7,6.7,10.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16.7,30.0,0.0,0.0,30.0,53.3,0.0,,2.4,,54.3,154.0,52.2,22.1,33.3,6.7,9.1,10.0,3.3,3.3,0.4,3.3,3.3,127.0,82.1,104.6,2.03,2.3,2.46,1.95,2.21,2.34,1.4,0.2,6.7,6.7,,6.7,,21.5,,3.3,6.7,0.8,,0.8,0.0,0.88,,0.0,0.0,0.0,0.0,0.0,0.0,381.1,22.0,0.0,0.0,0.0,0.4,27.5,14.2,90.0,80.0,7.9,6.2,34.9,10.0,225.0,116.5,185.2,134.0,83.2,4.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,17.6,29.6,4.2,50.0,5.6,0.8,4.8
67,LC,F,2,6.7,0.0,86.7,6.7,0.0,0.0,0.0,3.3,0.0,3.3,76.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.3,66.7,0.0,0.0,66.7,10.0,0.0,,2.3,,52.6,153.0,52.1,22.3,33.3,13.3,8.3,13.3,3.3,13.3,0.8,6.7,3.3,117.0,76.9,96.7,1.86,2.17,2.47,1.8,2.1,2.39,2.1,0.5,3.3,3.3,,3.3,,25.0,,0.0,3.3,1.3,,1.3,0.0,1.54,,0.0,0.0,0.0,0.0,0.0,0.0,304.4,48.1,0.0,0.0,0.0,1.3,119.6,13.7,96.7,76.7,7.4,6.3,73.8,8.0,217.0,139.1,233.6,110.8,83.2,12.8,37.5,0.0,37.5,0.0,0.0,0.0,0.0,17.3,29.2,5.8,50.0,5.2,0.8,4.3
68,LC,F,3,13.3,0.0,65.0,20.0,0.0,3.4,1.6,5.0,3.4,6.7,63.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,20.0,48.4,0.0,0.0,48.4,31.6,0.0,,2.4,,53.5,154.0,52.2,22.2,33.3,10.0,8.7,11.7,3.3,8.3,0.6,5.0,3.3,122.0,79.5,100.7,1.95,2.23,2.47,1.88,2.16,2.37,1.8,0.4,5.0,5.0,,5.0,,23.3,,1.6,5.0,1.1,,1.1,0.0,1.21,,0.0,0.0,0.0,0.0,0.0,0.0,342.8,35.1,0.0,0.0,0.0,0.9,73.5,13.9,93.4,78.4,7.7,6.3,54.4,9.0,221.0,127.8,209.4,122.4,83.2,8.4,35.4,0.0,35.4,0.0,0.0,0.0,0.0,17.5,29.4,5.0,50.0,5.4,0.8,4.5
75,ND,F,1,7.1,0.0,7.1,10.7,0.0,42.9,10.7,10.7,7.1,7.1,75.0,0.0,17.9,0.0,0.0,17.9,82.1,0.0,25.0,71.4,0.0,0.0,71.4,3.6,0.0,,2.9,,50.4,154.0,50.9,21.3,32.1,14.3,4.0,10.7,7.1,0.0,0.0,10.7,3.6,118.0,75.8,97.1,1.8,2.26,1.83,1.82,2.28,1.84,0.9,0.1,10.7,10.7,,10.7,,17.7,,10.7,10.7,1.9,,1.9,0.0,2.24,,0.0,0.0,0.0,0.0,0.0,0.0,380.6,24.7,0.0,0.0,0.0,6.5,1.1,39.4,92.9,75.0,31.7,7.8,38.9,41.0,275.0,86.8,133.7,143.6,31.7,0.0,0.0,73.1,73.1,11.5,0.0,0.0,11.5,15.9,27.9,4.2,50.0,6.0,1.7,4.5
76,ND,F,2,27.6,0.0,3.4,3.4,0.0,37.9,17.2,20.7,20.7,10.3,82.8,24.1,0.0,3.4,0.0,3.4,72.4,0.0,27.6,69.0,0.0,0.0,69.0,3.4,0.0,,2.7,,48.0,154.0,50.9,21.5,3.4,0.0,0.0,3.4,3.4,3.4,0.3,0.0,0.0,119.0,77.2,97.9,1.82,2.16,1.96,1.87,2.21,2.03,2.7,0.0,13.8,13.8,,13.8,,43.0,,0.0,13.8,1.8,,1.8,0.0,2.05,,0.0,0.0,0.0,0.0,0.0,0.0,385.5,36.8,0.0,0.0,0.0,1.9,10.2,45.2,100.0,79.3,39.0,6.2,48.5,32.0,280.0,74.1,96.8,202.8,48.4,2.5,3.6,57.1,60.7,3.6,0.0,0.0,3.6,16.6,26.6,4.2,48.0,5.8,2.6,3.2
77,ND,F,3,17.4,0.0,5.3,7.0,0.0,40.4,13.9,15.7,13.9,8.7,78.9,12.1,8.9,1.7,0.0,10.6,77.3,0.0,26.3,70.2,0.0,0.0,70.2,3.5,0.0,,2.8,,49.2,154.0,50.9,21.4,17.8,7.2,2.0,7.0,5.3,1.7,0.1,5.3,1.8,119.0,76.5,97.5,1.81,2.21,1.9,1.85,2.25,1.94,1.8,0.1,12.3,12.3,,12.3,,30.4,,5.3,12.3,1.9,,1.9,0.0,2.15,,0.0,0.0,0.0,0.0,0.0,0.0,383.1,30.8,0.0,0.0,0.0,4.2,5.6,42.3,96.5,77.2,35.4,7.0,43.7,37.0,278.0,80.5,115.3,173.2,40.0,1.3,1.8,65.1,66.9,7.5,0.0,0.0,7.5,16.3,27.3,4.2,49.0,5.9,2.1,3.9
84,QA,F,1,20.0,0.0,0.0,0.0,0.0,13.3,3.3,0.0,0.0,10.0,53.3,3.3,0.0,86.7,0.0,86.7,10.0,0.0,3.3,0.0,93.3,3.3,96.7,0.0,0.0,,2.7,,52.4,148.0,45.8,20.8,10.0,3.3,3.6,10.0,3.3,6.7,0.4,3.3,0.0,103.0,65.7,84.4,1.66,2.26,1.58,1.44,2.02,1.34,1.9,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,385.4,60.1,0.5,0.0,0.0,18.8,15.5,37.6,0.0,0.0,17.0,20.6,82.3,6.0,294.0,24.8,1.9,70.8,14.4,0.0,0.0,84.2,84.2,0.0,0.0,0.0,0.0,14.5,29.0,4.0,49.0,5.5,0.7,4.8
85,QA,F,2,16.7,0.0,0.0,0.0,0.0,13.3,0.0,6.7,6.7,13.3,83.3,0.0,0.0,86.7,0.0,86.7,13.3,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,2.8,,52.1,150.0,47.6,21.2,23.3,13.3,7.4,10.0,6.7,10.0,0.6,6.7,3.3,105.0,71.1,88.1,1.42,1.98,1.36,1.26,1.79,1.18,1.3,0.2,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,400.7,43.9,0.0,0.0,0.0,26.2,14.8,37.8,0.0,0.0,12.4,25.4,96.8,11.0,303.0,25.0,4.6,66.0,18.8,0.8,0.0,92.0,92.0,0.0,0.0,0.0,0.0,14.8,28.7,4.5,50.0,5.9,1.1,4.8
86,QA,F,3,18.4,0.0,0.0,0.0,0.0,13.3,1.6,3.4,3.4,11.7,68.3,1.6,0.0,86.7,0.0,86.7,11.7,0.0,1.6,0.0,96.7,1.6,98.4,0.0,0.0,,2.8,,52.3,149.0,46.7,21.0,16.7,8.3,5.5,10.0,5.0,8.3,0.5,5.0,1.6,104.0,68.4,86.3,1.54,2.12,1.47,1.35,1.91,1.26,1.6,0.1,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,393.1,52.0,0.3,0.0,0.0,22.5,15.2,37.7,0.0,0.0,14.7,23.0,89.5,9.0,299.0,24.9,3.3,68.4,16.6,0.4,0.0,88.1,88.1,0.0,0.0,0.0,0.0,14.7,28.9,4.3,49.5,5.7,0.9,4.8
102,RA,F,1,0.0,0.0,3.3,0.0,0.0,6.7,0.0,0.0,0.0,10.0,26.7,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,,2.6,,51.6,153.0,45.3,19.3,46.7,26.7,20.8,36.7,30.0,23.3,2.2,20.0,10.0,88.0,57.0,72.3,1.94,2.5,2.04,1.88,2.4,1.96,0.6,0.2,3.3,3.3,,3.3,,26.0,,0.0,0.0,0.0,,0.0,0.71,0.71,,0.71,0.0,3.3,0.0,0.0,0.0,206.5,13.7,202.0,0.0,0.0,28.2,0.9,18.4,0.0,0.0,18.0,0.4,84.1,229.0,139.0,20.9,0.0,86.8,18.8,0.4,,50.0,,0.0,0.0,0.0,0.0,17.3,28.5,3.9,51.0,6.8,0.8,6.1
103,RA,F,2,3.4,0.0,6.9,17.2,3.4,6.9,0.0,3.4,0.0,17.2,44.8,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,,2.7,,50.9,152.0,50.4,21.6,34.5,24.1,11.5,20.7,13.8,6.9,1.2,13.8,6.9,98.0,65.1,81.4,1.95,2.55,1.84,1.91,2.51,1.81,1.1,0.1,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,267.5,22.1,146.1,0.0,0.0,26.0,2.8,17.4,0.0,0.0,17.4,0.0,81.7,236.0,177.0,7.8,0.0,93.1,9.1,0.0,,20.0,,0.0,0.0,0.0,0.0,17.2,28.8,4.2,52.0,7.2,1.1,6.1
104,RA,F,3,1.7,0.0,5.1,8.6,1.7,6.8,0.0,1.7,0.0,13.6,35.8,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,,2.7,,51.3,153.0,47.9,20.5,40.6,25.4,16.2,28.7,21.9,15.1,1.7,16.9,8.5,93.0,61.0,76.9,1.95,2.52,1.94,1.9,2.46,1.89,0.9,0.2,1.6,1.6,,1.6,,26.0,,0.0,0.0,0.0,,0.0,0.35,0.35,,0.35,0.0,1.6,0.0,0.0,0.0,237.0,17.9,174.1,0.0,0.0,27.1,1.8,17.9,0.0,0.0,17.7,0.2,82.9,233.0,158.0,14.3,0.0,90.0,14.0,0.2,,35.0,,0.0,0.0,0.0,0.0,17.3,28.7,4.0,51.5,7.0,1.0,6.1
111,TD,F,1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,66.7,0.0,0.0,0.0,3.7,3.7,96.3,0.0,3.7,3.7,0.0,70.4,74.1,22.2,0.0,,1.8,,50.1,154.0,50.0,21.2,40.7,29.6,29.2,18.5,3.7,14.8,1.2,33.3,18.5,115.0,75.4,95.1,2.07,2.55,2.0,2.12,2.62,2.07,1.7,0.7,18.5,18.5,,18.5,,44.8,,0.0,14.8,0.8,,0.8,0.26,1.24,,0.26,0.0,3.7,0.0,0.0,0.0,19.2,480.0,49.7,0.0,0.0,2.0,15.9,19.3,0.0,0.0,5.8,13.4,73.9,17.0,155.0,40.3,0.0,51.4,16.4,19.6,83.3,33.3,83.3,0.0,0.0,0.0,0.0,16.2,27.0,4.6,50.0,4.0,0.3,3.7
112,TD,F,2,8.0,0.0,4.0,0.0,28.0,16.0,0.0,8.0,0.0,24.0,56.0,0.0,8.0,0.0,0.0,8.0,92.0,0.0,4.0,12.0,0.0,16.0,28.0,68.0,0.0,,1.8,,51.0,156.0,51.8,21.4,32.0,32.0,28.0,24.0,4.0,12.0,1.9,28.0,28.0,106.0,68.2,87.0,2.45,2.92,2.84,2.52,3.0,2.91,0.6,0.4,8.0,8.0,,8.0,,34.0,,0.0,8.0,0.2,,0.2,0.0,0.26,,0.0,0.0,0.0,0.0,0.0,0.0,21.2,487.7,77.3,0.0,0.0,0.5,23.6,16.4,4.0,0.0,4.2,12.3,75.3,64.0,189.0,85.6,0.0,61.0,25.0,18.8,80.0,40.0,80.0,0.0,23.5,0.0,0.0,15.1,26.7,4.4,50.0,4.4,0.3,4.2
113,TD,F,3,9.6,0.0,2.0,0.0,14.0,8.0,0.0,4.0,0.0,21.3,61.4,0.0,4.0,0.0,1.9,5.9,94.2,0.0,3.9,7.9,0.0,43.2,51.0,45.1,0.0,,1.8,,50.6,155.0,50.9,21.3,36.4,30.8,28.6,21.3,3.9,13.4,1.6,30.6,23.3,111.0,71.8,91.0,2.26,2.73,2.42,2.32,2.81,2.49,1.1,0.6,13.3,13.3,,13.3,,39.4,,0.0,11.4,0.5,,0.5,0.13,0.75,,0.13,0.0,1.9,0.0,0.0,0.0,20.2,483.9,63.5,0.0,0.0,1.3,19.8,17.9,2.0,0.0,5.0,12.9,74.6,41.0,172.0,62.9,0.0,56.2,20.7,19.2,81.7,36.6,81.7,0.0,11.8,0.0,0.0,15.7,26.9,4.5,50.0,4.2,0.3,4.0
